"Rodiklis","1995K1","1995K2","1995K3","1995K4","1996K1","1996K2","1996K3","1996K4","1997K1","1997K2","1997K3","1997K4","1998K1","1998K2","1998K3","1998K4","1999K1","1999K2","1999K3","1999K4","2000K1","2000K2","2000K3","2000K4","2001K1","2001K2","2001K3","2001K4","2002K1","2002K2","2002K3","2002K4","2003K1","2003K2","2003K3","2003K4","2004K1","2004K2","2004K3","2004K4","2005K1","2005K2","2005K3","2005K4","2006K1","2006K2","2006K3","2006K4","2007K1","2007K2","2007K3","2007K4","2008K1","2008K2","2008K3","2008K4","2009K1"
"y_n",5138.4530000000004,6091.6999999999998,7473.9170000000004,7252.3630000000003,6739.0110000000004,7730.3680000000004,9365.6039999999994,8904.6599999999999,8281.1859999999997,9755.4040000000005,10996.539000000001,10964.513000000001,9684.8600000000006,11237.817999999999,12093.306,11682.606,9744.5580000000009,11364.232,11479.352999999999,11078.522999999999,10398.785,11567.797,11711.582,12058.602999999999,10977.262000000001,12260.321,12503.898999999999,12895.446,11407.288,13126.055,13678.773999999999,13857.915000000001,12679.932000000001,14129.200999999999,14815.562,15334.73,13524.311,15478.355,16365.040000000001,17330.143,15057.674999999999,17736.007000000001,19145.614000000001,20121.066999999999,17335.285,20250.705000000002,22205.947,23000.864000000001,20222.903999999999,24384.835999999999,26195.071,27335.913,24461.045999999998,28604.243999999999,29854.577000000001,28578.811000000002,20652.482
"y_r",7968.1800000000003,8741.4410000000007,10027.188,9605.5599999999995,8377.8590000000004,8899.2479999999996,10846.92,10067.146000000001,8783.8400000000001,9876.5609999999997,11733.359,11037.538,9720.0149999999994,10904.707,12439.808999999999,11470.004000000001,9931.0949999999993,10983.923000000001,11902.01,11063.841,10498.370999999999,11247.788,12232.528,11758.08,11213.298000000001,11851.424999999999,13032.654,12720.143,11745.528,12812.463,14084.379999999999,13525.705,12973.234,13970.682000000001,15481.272000000001,15088.351000000001,14002.710999999999,15117.085999999999,16364.603999999999,16256.898999999999,14784.942999999999,16214.209999999999,17831.339,17728.067999999999,15969.603999999999,17625.938999999998,19124.784,19059.562000000002,17084.508999999998,19214.584999999999,21141.518,20745.429,18287.933000000001,20211.703000000001,21765.029999999999,20279.919999999998,15796.648999999999
"C_n",3691.643,4007.328,4422.0039999999999,4953.7910000000002,4768.009,5105.2290000000003,5489.8149999999996,6133.7690000000002,5647.4049999999997,5819.4970000000003,6405.8559999999998,6927.0209999999997,6329.4880000000003,6551.0100000000002,7216.2389999999996,7388.2299999999996,6389.326,7154.3720000000003,7464.0529999999999,7441.2529999999997,6777.4179999999997,7319.1350000000002,7547.3069999999998,7803.6580000000004,7430.5280000000002,7666.299,7976.5720000000001,8350.8700000000008,7774.6220000000003,8284.3829999999998,8500.8680000000004,8670.7659999999996,8324.4830000000002,9041.6919999999991,9187.5190000000002,9803.8220000000001,8936.7150000000001,10092.732,10662.723,10870.243,9874.9040000000005,11522.376,12097.74,12816.963,11165.832,13200.513999999999,14263.517,14638.724,13809.083000000001,15425.624,16273.953,17729.165000000001,16986.042000000001,18563.021000000001,18811.766,18336.164000000001,15520.110000000001
"C_r",4887.0709999999999,5330.8000000000002,5907.7079999999996,6675.8429999999998,5566.5079999999998,5767.723,6169.1499999999996,6777.7780000000002,5998.5870000000004,6089.5640000000003,6558.0519999999997,6999.866,6160.8860000000004,6388.4560000000001,7078.5919999999996,7243.6040000000003,6263.7370000000001,7033.1819999999998,7286.2020000000002,7383.5730000000003,6792.6130000000003,7320.3540000000003,7551.0069999999996,7783.5439999999999,7214.1300000000001,7527.5550000000003,7839.1639999999998,8112.0820000000003,7575.0510000000004,8033.0690000000004,8432.1119999999992,8456.3549999999996,8146.5410000000002,8840.8040000000001,9100.1200000000008,9804.3729999999996,9008.6290000000008,9980.6700000000001,10472.912,10687.314,9730.0709999999999,11281.856,11776.375,12306.916999999999,10632.384,12329.253000000001,13407.539000000001,13490.897999999999,12605.308000000001,13842.032999999999,14376.466,15176.353999999999,14000.289000000001,14857.463,15055.550999999999,14730.785,11884.075999999999
"G_n",1077.9480000000001,1347.5699999999999,1372.652,1834.7950000000001,1444.8579999999999,1856.222,1932.0039999999999,2018.0,1798.8699999999999,2607.567,2303.547,2342.5509999999999,2413.6170000000002,2813.6860000000001,2431.4380000000001,3229.194,2321.71,2804.5129999999999,2111.5590000000002,2493.7159999999999,2497.8989999999999,2697.7860000000001,2376.4549999999999,2840.9470000000001,2387.502,2827.7669999999998,2415.46,2794.2750000000001,2456.788,2773.127,2581.7350000000001,3082.1860000000001,2444.4740000000002,3090.9459999999999,2579.9830000000002,3193.0900000000001,2518.7060000000001,3296.9409999999998,2802.7139999999999,3539.9859999999999,2698.453,3591.375,3013.0509999999999,4199.8450000000003,3070.0859999999998,3840.52,3959.6559999999999,5095.9380000000001,3513.5160000000001,4653.1440000000002,4096.5720000000001,5621.4399999999996,4189.5450000000001,5609.5820000000003,4941.4290000000001,6598.3779999999997,4521.3860000000004
"G_r",1886.463,2112.808,2342.8589999999999,2613.5479999999998,1909.704,2255.634,2629.5450000000001,2396.2950000000001,2025.8130000000001,2763.0070000000001,2685.1700000000001,2342.2919999999999,2417.337,2619.8000000000002,2520.4259999999999,2869.4589999999998,2396.0900000000001,2508.5120000000002,2276.0909999999999,2386.4920000000002,2573.1500000000001,2578.9499999999998,2529.75,2731.2370000000001,2507.6100000000001,2695.6590000000001,2622.105,2855.5149999999999,2433.277,2629.4160000000002,2713.1390000000001,3019.8119999999999,2467.7399999999998,2849.7280000000001,2762.817,3154.3330000000001,2712.0230000000001,2972.7379999999998,3017.6179999999999,3451.826,2824.431,3093.4380000000001,3108.8499999999999,3550.951,3090.6750000000002,3128.989,3192.4760000000001,3634.893,3209.268,3267.6759999999999,3247.5039999999999,3757.2849999999999,3338.6770000000001,3444.134,3406.8609999999999,3866.0819999999999,3413.0940000000001
"I_n",1251.6130000000001,1219.848,2066.8389999999999,1555.684,1155.723,1371.212,2386.3980000000001,2147.0050000000001,1684.2260000000001,2383.9160000000002,2879.5479999999998,3265.5880000000002,1833.0429999999999,2993.2080000000001,3882.6489999999999,2701.4580000000001,1709.0360000000001,2733.357,2767.201,2625.4659999999999,1610.884,2278.5740000000001,2189.7739999999999,2560.123,1636.606,2246.46,2285.5659999999998,3210.9749999999999,1716.1400000000001,2794.0160000000001,2926.5450000000001,3337.8470000000002,1910.9580000000001,3044.489,3667.3780000000002,3838.527,2942.415,3496.431,3741.759,4053.547,3084.9560000000001,4158.1819999999998,5246.6289999999999,4738.5079999999998,4619.1909999999998,4843.6769999999997,6308.4549999999999,6032.2950000000001,5779.3440000000001,8015.6049999999996,8577.0769999999993,7577.9319999999998,7636.2299999999996,8061.0739999999996,8593.3529999999992,5419.3180000000002,1125.4159999999999
"I_r",1357.1479999999999,1324.146,1468.588,1072.424,1203.0519999999999,1423.393,1805.404,1865.577,1533.6130000000001,2126.2570000000001,2556.444,2649.5070000000001,1632.806,2751.0709999999999,3572.29,2482.3829999999998,1690.9870000000001,2635.5039999999999,2861.5900000000001,2589.6619999999998,1631.777,2106.7579999999998,2484.21,2416.6120000000001,1932.0360000000001,2193.4989999999998,2756.5140000000001,3104.596,2125.2220000000002,2790.4760000000001,3276.9659999999999,3260.3850000000002,2508.1909999999998,3372.982,4479.1800000000003,3937.904,3634.6149999999998,4231.9229999999998,4847.9650000000001,4428.2269999999999,3646.7939999999999,4064.6080000000002,4933.1999999999998,4269.7240000000002,4008.998,3994.163,5340.8310000000001,5156.585,4382.5110000000004,5945.1639999999998,6573.7269999999999,5655.2960000000003,5448.2560000000003,5997.7550000000001,6609.9589999999998,4378.0230000000001,1573.7239999999999
"X_n",2619.0419999999999,3146.9549999999999,3464.8159999999998,3546.2370000000001,3730.1680000000001,3976.0410000000002,4524.567,4648.152,4522.4660000000003,5137.5410000000002,5451.5590000000002,5799.3059999999996,5136.4570000000003,5461.3689999999997,5121.3389999999999,4596.5280000000002,3933.7939999999999,4255.5889999999999,4472.6189999999997,4310.9920000000002,4861.5829999999996,4940.0029999999997,5469.7889999999998,5194.5,5486.6589999999997,6185.8490000000002,6256.04,6285.308,5916.8940000000002,7135.8190000000004,7122.7849999999999,7268.5389999999998,7138.3810000000003,6748.9830000000002,7524.2190000000001,7725.8180000000002,6892.7629999999999,7803.0190000000002,8748.098,9191.6380000000008,8511.6560000000009,9961.3449999999993,10984.816999999999,12000.072,11204.916999999999,12641.511,12655.168,12415.545,11697.105,13538.544,14526.365,13609.823,14860.433000000001,17687.012999999999,18695.305,15415.225,11037.584999999999
"X_r",3223.4079999999999,3582.7550000000001,4072.3400000000001,4217.6120000000001,4062.4789999999998,4093.5030000000002,4868.5569999999998,4946.5529999999999,4576.0699999999997,5122.0680000000002,5650.4250000000002,6007.9889999999996,5443.6360000000004,5883.0069999999996,5811.1700000000001,5213.777,4543.8199999999997,4838.7979999999998,4933.8500000000004,4375.7049999999999,4926.3389999999999,5016.7960000000003,5438.8379999999997,5083.902,5543.8639999999996,6123.9639999999999,6404.5900000000001,6735.8500000000004,6513.6729999999998,7627.3819999999996,7636.5640000000003,7854.2089999999998,7543.241,7516.4809999999998,8244.491,8368.5380000000005,7406.1329999999998,8058.4989999999998,8647.3259999999991,8953.7540000000008,8542.5560000000005,9674.1810000000005,10025.25,10687.869000000001,10286.860000000001,11316.628000000001,11025.069,10980.476000000001,10538.921,11622.224,12291.275,11041.227000000001,11573.564,13216.512000000001,13678.057000000001,12165.599,9864.9889999999996
"M_n",3504.8130000000001,3634.0279999999998,3858.3919999999998,4645.71,4364.0609999999997,4582.4970000000003,4972.5770000000002,6049.8580000000002,5376.7079999999996,6199.3320000000003,6053.5119999999997,7381.4229999999998,6032.9009999999998,6586.8289999999997,6568.5309999999999,6246.3969999999999,4617.5280000000002,5598.21,5355.1040000000003,5814.3010000000004,5370.9870000000001,5695.1899999999996,5900.5010000000002,6369.4189999999999,5983.585,6686.5240000000003,6452.366,7775.1300000000001,6488.3360000000002,7898.8500000000004,7492.9350000000004,8540.2420000000002,7173.777,7835.3699999999999,8181.5600000000004,9265.5720000000001,7804.6379999999999,9256.9629999999997,9638.9200000000001,10373.207,9145.9040000000005,11532.799999999999,12232.450000000001,13672.902,12759.751,14318.492,15030.73,15234.34,14623.960999999999,17303.674999999999,17340.617999999999,17269.026999999998,19266.709999999999,21373.849999999999,21248.275000000001,17252.811000000002,11602.731
"M_r",3451.4929999999999,3638.181,3877.8600000000001,4580.643,4207.9870000000001,4485.4070000000002,4730.3339999999998,5726.3699999999999,5178.8549999999996,6044.8159999999998,5798.0550000000003,6909.4409999999998,5759.0609999999997,6698.3739999999998,6673.0839999999998,6270.067,4919.5429999999997,6073.991,5507.616,5762.1440000000002,5375.7489999999998,5804.9989999999998,5814.4719999999998,6340.8770000000004,6003.8950000000004,6709.7209999999995,6612.2299999999996,8116.924,6951.3789999999999,8293.6499999999996,7978.5450000000001,9077.1409999999996,7701.5699999999997,8648.3619999999992,9056.6440000000002,10239.369000000001,8793.6180000000004,10189.493,10616.853999999999,11359.547,10091.373,12136.347,12070.807000000001,13384.294,12304.163,13409.325999999999,14044.701999999999,14452.564,13918.476000000001,15808.816000000001,15638.889999999999,15123.455,16498.999,17727.014999999999,17345.683000000001,14954.798000000001,11067.646000000001
"X_no",1987.0733,2333.6268,2511.4920000000002,2698.8375999999998,2052.5055000000007,1948.7378999999996,2258.3986000000004,2371.8279000000011,2226.0783000000001,2426.4673000000003,2689.6877000000004,2818.6916999999994,2603.7180999999996,2624.6225000000013,2532.0390999999991,2429.1303999999991,2202.0405999999989,2202.7405000000012,2370.4096000000004,2516.5723000000007,2622.3138000000017,2632.9630999999995,2857.5317999999993,2906.7926999999986,2991.9664999999995,3165.4513000000015,3263.1262000000011,3459.7416999999987,3278.0623000000005,4007.1003999999994,4022.5551000000014,4025.6515999999988,3774.5180999999998,4298.2313000000022,4304.0897999999979,4581.3313000000016,4143.2931000000008,4808.6410000000033,4944.1113999999998,5465.2707000000009,5094.8160999999982,5744.6807000000035,6222.3868000000002,6846.1694999999982,6460.7811999999994,7196.7414000000008,7676.652199999995,8361.5459999999985,8491.7257000000045,9184.7516000000032,9615.7482,10109.435699999998,9663.3241000000016,10819.577800000003,11238.469199999994,10052.111199999992,7442.6401999999998
"X_o",224.7629,281.89510000000001,397.63159999999999,384.74610000000001,379.488,407.57509999999996,565.06919999999991,637.98820000000001,562.21669999999995,784.3288,572.45259999999996,721.13310000000001,761.35390000000007,741.65069999999992,693.36430000000007,554.74330000000009,369.56849999999997,579.7906999999999,476.7706,296.76299999999998,864.46130000000005,638.62469999999996,878.14440000000002,792.36419999999998,1063.3386,1247.1591000000001,1006.9243,919.45630000000006,788.57269999999994,1114.665,904.42489999999998,976.40980000000002,1277.0762,623.31610000000001,1200.5826999999999,1203.4858000000002,1377.5188999999998,1306.3248000000001,1789.059,1984.9367999999999,1725.3711000000001,2050.4816000000001,2339.5676000000003,2743.7795000000001,2614.1228999999998,2938.2852000000003,2349.8022000000001,1290.4023999999999,1163.1521,1757.2313000000001,1946.8608000000002,923.47519999999997,2917.8323,4067.7806,4296.3924000000006,2421.8772000000004,1981.3230000000001
"M_no",2264.0700000000002,2517.3200000000002,2628.5100000000002,3194.1399999999999,2649.2909999999997,2781.8707000000009,2991.3168000000001,3825.3854999999985,3422.5360000000014,4027.8971999999985,3985.9934000000017,4842.6502000000019,4191.7542999999987,4834.6413999999995,4536.6495000000004,4594.6607999999978,3531.8419000000013,4138.1455999999989,3790.6735999999987,4200.2426000000014,3482.5783999999976,4035.7239,3958.7025000000021,4651.6853000000019,4064.9513999999981,4610.5523999999996,4655.6294000000007,5745.3585000000021,4824.9521000000004,6001.8738999999978,5566.6040000000003,6381.3598999999995,4989.3898000000008,6340.2856000000029,5993.2799000000032,7016.9130000000041,5940.0481000000018,7256.3295999999955,7030.4097999999985,7722.7554999999993,6635.3847000000005,7886.0999000000011,8382.1504000000041,9675.928100000001,8675.2978000000021,9950.5805999999975,10609.930300000004,12058.698400000001,11655.240399999991,13045.143300000005,13074.033000000001,13744.836700000002,13372.757700000002,13883.330500000007,13495.091700000008,11690.606699999993,7636.1980999999978
"M_o",828.09000000000003,620.50999999999999,674.09000000000003,889.35000000000002,776.26099999999997,625.67600000000004,833.45280000000002,1048.2731999999999,941.90170000000001,1002.1908000000001,841.55600000000004,1033.3911000000001,1010.4669,830.53459999999995,716.57389999999998,740.65390000000002,559.61279999999999,791.96590000000003,775.91700000000003,719.27740000000006,1286.4583,1031.6229000000001,1234.2665,1195.8318000000002,1417.0193999999999,1364.7245,1103.1403,1279.8959,1019.9959,1252.9235000000001,1070.9621999999999,1360.1083999999998,1536.7208999999998,775.68100000000004,1354.3422,1431.3728999999998,1351.6008999999999,1296.9539,1864.0127,1921.5160000000001,1797.0082,2811.9078999999997,2875.0686000000001,3088.3503999999998,3185.2417,3402.2293999999997,3318.9005000000002,2073.7078999999999,2060.7683000000002,2822.4246000000003,2893.5131000000001,2207.5597000000002,4590.6744000000008,5557.1462999999994,6012.9715999999999,3990.6172999999999,2815.0026000000003
"p_y",0.64487160179614422,0.69687594985769497,0.74536520109127302,0.75501719837260928,0.80438343495635345,0.8686540705461856,0.8634344127180803,0.88452675663986591,0.9427751416237089,0.98773287584615743,0.93720297827757593,0.99338394123762019,0.99638323603410084,1.0305474507476449,0.97214563342572236,1.0185354774069826,0.98121687487633558,1.0346241502239226,0.96448860318551233,1.0013270255781874,0.99051414738534205,1.0284508385115367,0.95741305476676608,1.0255588497441759,0.97895034984355178,1.0345018426054251,0.95942844795848947,1.0137815274560986,0.97120265687502516,1.0244755438513267,0.97120171423946244,1.0245613814584897,0.97739175906331455,1.0113465470046485,0.95699901145073862,1.016329087254134,0.96583518720053574,1.0238980581310446,1.0000266428689628,1.0660177565229383,1.0184466047654022,1.0938557598550902,1.0737059062137735,1.1349836316061062,1.0855175244170112,1.1489149599349007,1.1611083816685197,1.2067886974527535,1.1836982848029172,1.2690795039289164,1.2390345385794908,1.3176836690145093,1.3375511601010348,1.4152317595404997,1.3716763542251034,1.4092171468132026,1.307396397805636
"p_c",0.75538968023996378,0.75173107225932312,0.74851431384218725,0.74204725905028024,0.85655297719863155,0.88513768778424351,0.8898819124190529,0.90498228180385965,0.94145587952629495,0.95565084790963684,0.97679249874810392,0.98959337221598243,1.0273665183871281,1.0254449588445158,1.0194455338010724,1.019966027960667,1.0200501713274359,1.0172311764433226,1.0244092875821997,1.0078119360369295,0.99776301108277465,0.99983347799846833,0.99950999912991745,1.0025841698845668,1.0299964098234993,1.018431482732441,1.0175283997120101,1.0294360929783501,1.0263458292228,1.0312849298319235,1.0081540662647746,1.0253550140693006,1.0218426446267195,1.022722820232187,1.0096041590660343,0.99994380058775822,0.99201720927790449,1.011227903537538,1.0181239945489851,1.0171164616291801,1.0148850917942942,1.0213191871975675,1.0272889577650168,1.0414438482034127,1.050172002817054,1.0706661628243008,1.0638430363693143,1.085081511994235,1.0954974682094241,1.1144045097999695,1.1319856354127642,1.1682097689603181,1.2132636690571172,1.2494071834471336,1.2494903706945033,1.2447513150181746,1.3059584943751623
"p_g",0.57141221428673672,0.63780996664154999,0.58588758435740274,0.70203225653402967,0.75658740831039784,0.82292694648156572,0.73472939234734524,0.84213337673366595,0.88797435893638743,0.94374245161159565,0.85787752730739575,1.0001105754534447,0.99846111650961378,1.0740079395373692,0.96469327010592665,1.1253668374421799,0.96895776035123882,1.1179986382365321,0.92771290778795767,1.0449295451231346,0.97075529992421727,1.046079218286512,0.93940310307342623,1.0401686122441955,0.95210259968655409,1.049007682351514,0.9211911803684445,0.9785537810167344,1.0096622784828855,1.0546551021215356,0.95156753855957987,1.0206549281875825,0.99057194031786189,1.0846459732297258,0.9338233404528784,1.0122869081989758,0.92871852487976692,1.1090587196046204,0.92878356372476567,1.0255401054398454,0.95539703395126307,1.1609655664668244,0.96918506843366514,1.1827380890358667,0.99333834841903457,1.2273996488961769,1.2403087760095926,1.401949933601897,1.0948029270226107,1.4239918523133874,1.2614524878183369,1.4961441572837832,1.2548518470040677,1.6287351189007164,1.4504345789276405,1.7067351390891348,1.3247176901661661
